player,rollout,avg_eval,eval_volatility,max_swing,outlier_flagged
MagnusCarlsen,1,250.78,297.04,789,0
MagnusCarlsen,2,77.33,262.4,1181,1
MagnusCarlsen,3,237.1,253.61,855,0
MagnusCarlsen,4,15.07,168.55,552,0
MagnusCarlsen,5,47.38,362.66,1109,1
MagnusCarlsen,6,80.97,384.84,1115,1
MagnusCarlsen,7,-70.6,342.96,975,0
MagnusCarlsen,8,19.45,250.25,865,0
MagnusCarlsen,9,-264.6,278.77,604,0
MagnusCarlsen,10,319.18,350.4,445,0
MagnusCarlsen,11,226.82,264.43,873,0
MagnusCarlsen,12,42.42,212.18,958,0
MagnusCarlsen,13,207.2,216.08,767,0
MagnusCarlsen,14,-95.17,231.67,825,0
MagnusCarlsen,15,-89.78,273.4,1253,1
MagnusCarlsen,16,68.65,188.49,765,0
MagnusCarlsen,17,201.68,291.29,993,0
MagnusCarlsen,18,47.6,168.15,891,0
MagnusCarlsen,19,83.75,136.8,731,0
MagnusCarlsen,20,164.75,282.69,982,0
MagnusCarlsen,21,217.38,294.71,434,0
MagnusCarlsen,22,527.7,2759.27,10894,1
MagnusCarlsen,23,158.35,287.91,811,0
MagnusCarlsen,24,-157.95,203.77,397,0
MagnusCarlsen,25,88.45,343.73,1219,1
MagnusCarlsen,26,18.73,146.53,613,0
MagnusCarlsen,27,436.52,273.75,444,0
MagnusCarlsen,28,-98.55,225.39,912,0
MagnusCarlsen,29,208.22,262.83,676,0
MagnusCarlsen,30,78.45,288.76,963,0
MagnusCarlsen,31,68.8,228.7,722,0
MagnusCarlsen,32,-128.55,244.13,723,0
MagnusCarlsen,33,-279.48,301.42,434,0
MagnusCarlsen,34,-7.88,329.41,1040,1
MagnusCarlsen,35,-196.4,259.77,613,0
MagnusCarlsen,36,-198.75,238.07,434,0
MagnusCarlsen,37,104.1,242.77,688,0
MagnusCarlsen,38,-277.48,351.82,794,0
MagnusCarlsen,39,166.1,274.77,934,0
MagnusCarlsen,40,109.67,174.42,628,0
MagnusCarlsen,41,-65.67,254.3,682,0
MagnusCarlsen,42,60.48,105.98,501,0
MagnusCarlsen,43,82.88,170.42,463,0
MagnusCarlsen,44,-6.72,175.43,671,0
MagnusCarlsen,45,15.97,299.28,904,0
MagnusCarlsen,46,123.03,165.51,561,0
MagnusCarlsen,47,-57.12,208.15,653,0
MagnusCarlsen,48,223.68,1620.49,10514,1
MagnusCarlsen,49,221.25,271.66,374,0
MagnusCarlsen,50,234.15,294.2,919,0
MagnusCarlsen,51,72.3,237.47,593,0
MagnusCarlsen,52,-14.65,99.83,455,0
MagnusCarlsen,53,175.4,268.86,626,0
MagnusCarlsen,54,-139.07,325.07,1047,1
